code,name,latitude,longitude
birzu-ams,Biržų AMS,56.193191,24.774184
dotnuvos-ams,Dotnuvos AMS,55.395993,23.866224
duksto-ams,Dūkšto AMS,55.517856,26.31614
kauno-ams,Kauno AMS,54.88396,23.83588
klaipedos-ams,Klaipėdos AMS,55.73135,21.09157
kybartu-ams,Kybartų AMS,54.633167,22.783011
laukuvos-ams,Laukuvos AMS,55.60886,22.239463
lazdiju-ams,Lazdijų AMS,54.23221,23.51068
nidos-ams,Nidos AMS,55.30221,21.00736
panevezio-ams,Panevėžio AMS,55.735154,24.417184
raseiniu-ams,Raseinių AMS,55.394569,23.133073
siauliu-ams,Šiaulių AMS,55.942222,23.331111
silutes-ams,Šilutės AMS,55.352222,21.446944
telsiu-ams,Telšių AMS,55.991245,22.256657
ukmerges-ams,Ukmergės AMS,55.264145,24.760335
utenos-ams,Utenos AMS,55.515321,25.589692
varenos-ams,Varėnos AMS,54.248271,24.55176
vilniaus-ams,Vilniaus AMS,54.625992,25.107064
